id|iso_country|slug_place|latitude|longitude|nearest_iata_code|kdtree_dist_ns_cities_id
ar:san juan|ar|San Juan|-31.535107|-68.538594|UAQ|0.023823062040810236|
mx:veracruz|mx|Veracruz|19.173773|-96.13422409999998|VER|0.026016086366144393|
mx:villahermosa|mx|Villahermosa|17.991468255933825|-92.91599265341918|VSA|0.01812610328218901|
mx:ciudad victoria|mx|Ciudad Victoria|23.747271410379057|-99.14491869895201|CVM|0.031085324551689317|
es:valladolid|es|Valladolid|41.652251|-4.7245321|VLL|0.02556718465944174|
co:villavicencio|co|Villavicencio|4.15|-73.633333|VVC|0.0036971460614960367|
mx:zacatecas|mx|Zacatecas|22.770925|-102.583254|ZCL|0.003296079641026393|
es:zamora|es|Zamora|41.503471|-5.746788|SLM|0.5385731964970032|
cl:temuco|cl|Temuco|-38.735902|-72.590374|ZCO|0.01193538771888229|
cl:osorno|cl|Osorno|-40.57619|-73.114947|ZOS|0.04547624554643422|
cl:pucon|cl|Pucon|-39.272254|-71.977628|ZPC|0.0059311128803928095|
ar:bahía blanca|ar|Bahía Blanca|-38.71526576615614|-62.29511897661723|BHI|0.038973517628153716|
ar:sarmiento|ar|Sarmiento|-45.597758186566516|-69.05954997986557|CRD|1.5831335207998836|
ar:tehuelches|ar|Tehuelches|-46.96437425545254|-67.49949138611557|CRD|1.0943743736424894|
mx:tulancingo|mx|Tulancingo|20.0719902|-98.36909220000001|PC1|0.37408412000093655|
es:bizkaia|es|Bizkaia|43.26920624914964|-2.9718017578125004|BIO|0.04600290167601365|
py:ciudad del este|py|Ciudad del Este|-25.5085286|-54.675323100000014|AGT|0.059784173085953934|
bz:belmopan|bz|Belmopan|17.2510114|-88.75902009999999|BZE|0.6220586315565061|
za:bloemfontein|za|Bloemfontein|-29.116707791434827|26.218878497358673|BFN|0.011502702191632517|
es:costa del azahar|es|Costa del Azahar|40.094882122321174|0.0439453125|VLC|0.7543498151505723|
mx:ciudad obregón|mx|Ciudad Obregón|27.4827729|-109.93036699999999|CEN|0.017040169700151077|
mx:navojoa|mx|Navojoa|27.072757|-109.443749|XAL|0.511744466164511|
ar:el calafate|ar|El Calafate|-50.333333|-72.283333|FTE|0.1546674466560135|
mx:palenque|mx|Palenque|17.50987276061629|-91.98144710474924|PQM|0.0011169328028766655|
za:knysna|za|Knysna|-34.035086|23.046469|PBZ|0.325607770418646|
es:costa tropical|es|Costa Tropical|36.77519249580649|-3.4497070312500004|GRX|0.41261856201431174|
es:costa de valencia|es|Costa de Valencia|39.38950933076637|-0.24719238281250003|VLC|0.18019055408430107|
