"Id"|"CityCode"|"CountryId"|"DescriptionES"|"DescriptionEN"|"DescriptionPT"|"Latitude"|"Longitude"|"ProvinceId"|"IsSearchable"|"IsSearchableBus"|"TimeZone"
197|AZO|212|Kalamazoo|Kalamazoo|Kalamazoo|42.2749|-85.5882|MI|1|0|Eastern Standard Time
198|AZS|55|Samana|Samana|Samana|19.212|-69.332||1|0|SA Western Standard Time
199|BAG|163|Baguio|Baguio|Baguio|14.0333|121.5833||1|0|Singapore Standard Time
200|BAH|20|Bahrain|Bahrain|Bahrain|26.0667|50.5577||1|0|Arab Standard Time
201|BAJ|92|Bali|Bali|Bali|-6.1228|106.9917||1|0|West Pacific Standard Time
202|BAK|13|Baku|Baku|Baku|40.3953|49.8622||1|0|Azerbaijan Standard Time
203|BAQ|44|Barranquilla|Barranquilla|Barranquilla|10.96|-74.8|CO04|1|0|SA Pacific Standard Time
204|JTC|26|Bauru|Bauru|Bauru|-22.33|-49.08|BR_SP|1|0|E. South America Standard Time
205|BAY|173|Baia Mare|Baia Mare|Baia Mare|47.6595|23.5791||1|0|GTB Standard Time
206|BB1|26|Bombinhas|Bombinhas|Bombinhas|-27.1511|-48.5078||1|0|
207|BBA|41|Balmaceda|Balmaceda|Balmaceda|-45.9088|-71.7008||1|0|Pacific SA Standard Time
208|BBC|212|Beaver Creek |Beaver Creek |Beaver Creek |30.5575204|-99.1658649|TX|1|0|Central Standard Time
209|BBH|51|Barth|Barth|Barth|54.3663|12.7255||1|0|W. Europe Standard Time
210|BBI|95|Bhubaneswar|Bhubaneswar|Bhubaneswar|20.2704|85.8274||1|0|India Standard Time
211|BBJ|51|Bitburg|Bitburg|Bitburg|49.9679|6.5273||1|0|W. Europe Standard Time
212|BBK|30|Kasane|Kasane|Kasane|-17.8096|25.15||1|0|South Africa Standard Time
213|BBR|80|Basse Terre|Basse Terre|Basse Terre|16.0|-61.7167||1|0|SA Western Standard Time
214|BBW|212|Broken Bow|Broken Bow|Broken Bow|41.4052|-99.6401|NE|1|0|Central Standard Time
215|BC1|143|Barrancas del Cobre|Barrancas del Cobre|Barrancas del Cobre|27.4521|-107.6208|MX_CHH|1|0|
216|BCB|212|Blacksburg|Blacksburg|Blacksburg|37.23|-80.4277|VA|1|0|Eastern Standard Time
217|BCE|212|Bryce|Bryce|Bryce|37.6814|-112.1588|UT|1|0|Mountain Standard Time
218|BCH|203|Baucau|Baucau|Baucau|-8.4731006|126.4553727||1|0|Tokyo Standard Time
219|BCN|62|Barcelona|Barcelona|Barcelona|41.3833|2.1834|ES-B|1|0|Romance Standard Time
220|BDA|23|Bermuda|Bermuda|Bermuda|32.3078|-64.7505||1|0|Atlantic Standard Time
221|BDB|12|Bundaberg|Bundaberg|Bundaberg|-24.8791|152.3509||1|0|E. Australia Standard Time
222|BDO|92|Bandung|Bandung|Bandung|-6.95|107.57||1|0|SE Asia Standard Time
223|BDQ|95|Vadodara|Vadodara|Vadodara|22.31|73.18||1|0|India Standard Time
224|BDR|212|Bridgeport|Bridgeport|Bridgeport|41.1909|-73.1958|CT|1|0|Eastern Standard Time
225|BDS|99|Brindisi|Brindisi|Brindisi|40.6403|17.93||1|0|W. Europe Standard Time
226|BDU|153|Bardufoss|Bardufoss|Bardufoss|69.0643084|18.5385152||1|0|W. Europe Standard Time
227|BEB|71|Benbecula|Benbecula|Benbecula|53.4633886|-2.3544565||1|0|GMT Standard Time
228|BED|212|Bedford|Bedford|Bedford|42.4906231|-71.2760089|MA|1|0|Eastern Standard Time
229|BEG|225|Belgrado|Belgrade|Belgrade|44.8186|20.468||1|0|Central Europe Standard Time
230|BEH|212|Benton Harbor|Benton Harbor|Benton Harbor|42.116|-86.4484|MI|1|0|Eastern Standard Time
231|BEL|26|Belem|Belem|Belém, PA|-1.45|-48.48|BR_PA|1|0|SA Eastern Standard Time
232|BEN|124|Benghazi|Benghazi|Benghazi|32.1167|20.0667||1|0|Libya Standard Time
233|BEQ|71|Bury St Edmunds|Bury St Edmunds|Bury St Edmunds|52.25|0.7167||1|0|GMT Standard Time
